CO_IES|SG_IES|CO_UF
2571|FACREDENTOR|33
20090|FACREDENTOR|33
17933|FACREDENTOR|33
2572|FAC|29
2573|FTSA|41
22197||31
22194||31
2579|UniAtenas|31
2581|FSS|29
2582|UCP|41
2593|FJN|23
2616|FASAP|33
2617|FSB/RJ|33
2620|FAMPER|41
2623|FAT|15
2629|AJES|51
2636|FADIP|31
2642|FASVIPA|27
2647|FISMA|43
2652|FACULDADE UNIDA|32
2677|ISESJT|22
2687|FDA|43
12848||31
12772|FTS|31
2703|FSM|31
5387|FIT|35
2724|IESMA|21
1605|FANOVA|50
2744|ISE VERA CRUZ|35
2766|FAEM|42
2771|CESUPI|29
2787|FPP|41
2793|FACULDADE UBS|35
2796|FAI|52
